user_q,later_q,user_q_count,later_q_count
케이티 스마트폰 리퍼,케이티  스마트폰,1630,1630
노트4,노트5,321720,379772
바닐라비,바닐라b,132,84083
에몬스침대,에이스침대,94931,97666
아메리칸투어리스트,아메리칸투어리스터,6076,6043
쌤소나이트캐리어,쌤소나이트 세트,28702,8002
나비앤온수매트,경동나비앤온수매트,93265,149749
칼로커트,이보영칼로커트,0,29
테팔후라이팬,후라이팬,19360,16061
쉘마도마,셸마도마,0,0
애플비,애플비전집,746,2319
베리테,베리떼,1,317
카페트,온수카페트,25278,27499
에어프라이어,에어프라이,19279,44
리큅믹서기,멀티믹서기,1913,64943
LGu ,LGu 공부,0,0
핀란드 그릇,폴란드그릇,447,8153
경동나비엔 온수매트,경동나비엔 온수 매트,369,369
경동나비엔 온수 매트,경동 온수 매트,369,361
스팀다리미,한경희스팀다리미,3618,4043
그박용우리셋 4주,박용우리셋4주,22885,291195
중거 tv,증거 tv,0,7
아카,아카폰,322,134
금강제화,여성금강제화,74475,728025
드림큐브,드림큐브4,17050,254242
크림하우스,크림하우스 yt,165461,165461
크리스마스,크리스마스 수건,19540,19540
미즈노,미즈노패딩,6989,77292
앵글부츠,앵클부츠,93651,92153
여성언더웨어,언더웨어,689836,32351
등산바지,남성등산바지,130165,661649
이자벨아랑,이자벨마랑,1757,2316
남성옷,남성,565919,555892
비몰드 브라,몰드 없는 브라,5,15725
블루래빗,블루래빗전집,426,1999
가운,다운,5581,66253
페레가모,페레가모벨트,685,65598
속옷함,속옷장,31,2
경동나비엔온수매트,경동나비엔온수매트1 1,93632,516960
아디다스 본딩,아디다스 팬츠,59951,59951
맥엔로건 히트업,맥앤로건 기모셔츠,516,86
여자등산복바지,등산복바지,125245,94226
여성등산복바지,등신복바지,743100,92380
손정와부츠,손정완부츠,86767,86767
남성속옷,남자속옷,565163,44752
지나송웨딩암막커튼 ,지나송웨딩암막커튼,75685,75685
닥터지르트,닥터자르트,0,13182
3단서랍장,5단서랍장,1003186,408427
세면타올,세면타월,12512,7933
이토,아토,37,1705
헤어뽕,헤어속뽕,65,20340
헤어속,헤어뽕,0,65
아디다스밴딩팬츠,아디다스팬츠,356706,336170
아디다스밴딩팬츠,아디다스기모밴딩,356706,157173
아디다스기모밴딩,아디다스기모밴딩팬츠,157173,405756
코렐 프로방스가듬,코렐 프로방스가든,9583,9583
밥통,밥솥,264,2324
귀뚜라미온수매트,귀뚜라미온수매트퀸,93330,157283
아이오페,아이오페인텐스,507,2006
라뽄떼나시,라뽄떼원피스,11974,196797
보드,보드복,26571,7463
아이지엔슬림와이드팬츠,아이지엔슬림팬츠,394986,369193
청바지,바지,13822,92380
해피콜,해피콜냄비,880,30969
전기방너,전기방석,10583,27
오리털조끼,오리털롱조끼,41855,187616
motham,mothan,0,0
행남자,행남자기,459,6117
롯데홈쇼핑,롯데 홈쇼핑암보험,739371,736822
청소기,삼성청소기,5716,23499
차앤박 무제머,차앤박 뮤제너,455,455
스포츠브라,스포츠웨어,151190,99893
아메리칸투어리스터,아메리칸투어리스터 세트,6043,6043
아메리칸투어,아메리칸투어리스트,11948,6076
아메리칸투어리스트,아메리칸 투어리스터,6076,6043
샘소나이트캐리어,샘소나이트,21426,239
속옷세트,여자속옷세트,600477,630983
수납선밧,수납선반,38384,60568
이연복 탕수육,이연복탕수육,1,77
부산미도어묵,미도어묵,1593,710
최유라쇼,최유라,1,0
핸리헨슨,헨리헨스,18,12118
핸리헨슨,헨리헨슨,18,12065
구스다운,남성 구스다운,69995,555892
로우알파인,로우알파인기모팬츠,19738,351012
여성지갑,여성 중지갑,733236,662587
최여진반폴라,최여진목폴라,1134,3102
아디다스이너웨어,아디다스내의,70421,82007
제닉스,제닉스세트,503,593243
트레이닝복,여성트레이닝복,12518,672871
한스데코,한스데코 로제,57370,57370
김치냉장고 ,김치냉장고 소형,13821,13821
lg공기청정기,삼성공기청정기,36810,28098
lg공기청정기,공기청정기,36810,10027
테팔후라이팬,해피콜후라이팬,19360,16752
렌트카,장기렌트카,62,849
a.h.c,ahc,688635,572
클렌져,클렌지ㅣ,933,225
클렌져,클렌저,933,2311
클렌저,클렌징,2311,5562
아디다스골프,아디다스,154172,59951
블루래빗전집,블루래빗,1999,426
와이드팬츠 ,와이드팬츠세트,308709,897720
여자구두,여자부츠,130379,117265
시원스쿨,시원스쿨 1년,11553,11553
물걸레  청소기,무선물걸레청소기,15835,91821
피부유산균,유산균,6014,1849
엘지핸드폰,핸드폰,12647,9758
보그빨대컵,푸고빨대컵,45599,43954
웸 앤 나우,웸앤나우,13,295
치마레깅스,치마레깅수,77909,20347
소프트 베베,소프트 베베 털실,34436,34436
흠집세척사과,흠집사과,6691,0
자이글,자이글심플,32,86475
케비어,캐비어,6,626
지루성샹푸,지루성 샴푸,32,16
셤푸,샴푸,0,8671
글뿌리오감,글뿌리오감톡톡,593,27376
남성츄리닝,겨울남성츄리닝,560693,597503
한율서담기초,한율서담기초세트,1357,593744
암워이치약,암웨이치약,0,1943
남성트렁크,트렁크,565642,15159
웨킹화,워킹화,0,18505
ks,kt,1999,2796
토퍼,면토퍼,2380,0
세제,세재,5566,9
세재,세제,9,5566
스타킹,기모스타킹,30479,91619
lg드롬스타일러,트롬스타일러,41107,14346
남성구수다운,남성구다운,66253,635901
등산복,등산복세트,3124,595855
알집매트,알집매트범퍼품,92877,92878
탐모샴푸,탈모샴푸,8671,8850
베리떼 쿠션파운데이션,제니하우스파운데이션,317,123866
노트북,삼성노트북,14665,31712
리앤케이,리엔케이,0,260
한성 컴퓨터 p53m,한성 컴퓨터,1615,1615
엘렌실라 마스크팩,엘렌실라 인트라셀 마스크팩,158,158
닉스팯ㄱㅇ,닉스패딩,0,71282
구스조끼,여성구스조끼,50287,706066
삼온,삼원,0,516
힐라본딩바지,본딩바지,101179,101164
범퍼폼,범퍼,0,13479
아너스물걸레청소기,아너스듀얼물걸레청소기,84498,102562
식기세척기,lg식기세척기,9538,36432
동양매직식기세척기,식기세척기,25306,9538
18k,14k,22043,135445
요거트메이커,요거트제조기,7831,2366
아아라이너,아이라이너,54428,1368
세탁기,세탁기트롬,1906,1961
메제부추,메쎄푸추,99,1477
남성트레이닝복,카파트레이닝복,566178,18267
칭대,침대,0,92472
마담엘레강스앙상블코디,마담엘레강스,39454,17579
듀유,두유,1,1298
아디다스속옷,아디다스여성속옷,70012,726631
아트비,아트비매트,0,92873
그릇셋트,그릇세트,19050,598007
티셔츠,여성티셔츠,375751,988739
무늬베이직,무늬울베이직,121867,159955
미미스케츠북,미미스케치북,0,0
유이 부츠,유아부츠,109,116659
신창숙,신창경,0,0
샌더슨침구가격 ,샌더슨침구,72312,56839
메트리스 스커트,메트리스 스커트K,79,79
갤럭시s5,갤럭시j5,164338,163407
본즉,본죽,0,77
비비보,비비고,0,84
나비엔 온수매트,나비엔 온수,8,8
풍년압력솥베르뚜g,풍년압력솥,49152,3117
신탁책상,식탁책상,26271,48227
신탁겸책상,식탁겸책상,56205,77826
파랑점퍼,여성파랑점퍼,128077,778809
스마트폰,삼성 스마트폰,10555,18142
누루틈마기,노루틈마기,21,0
자이늘,자이글,0,32
삼원 온슈매트,삼원 온수매트,516,516
모간 케이프코트,케이프코트,9,112125
일월전기매트,일월매트,102726,93062
마몽드핸드크림,마몽드로즈모이처핸드크림,56935,80057
마몽드핸드크림,핸드크림,56935,56174
옥크,오크,1,6563
디고다아로니아,지고다아로니아,26178,32486
창문마개,노루창문틈마개,6839,5984
오토비스물걸레청소기,오토비스 자동물걸레 청소기,213776,34
아르떼,아르테,1568,717
캐리아,캐리어,0,21229
아이오페 에어쿠션,아이오페에어쿠션rx,507,93666
김무열 굿라인 타이트닝 마시지롤러,김무열 굿라인 타이트닝,5,5
원수메트,원수매트,171,92878
네차,네파,0,13078
맨투맨,학생맨투맨,78889,91398
슈퍼닥터칸,닥터칸,79718,25361
닥터칸,슈퍼닥터칸,25361,79718
롯데홈쇼핑,롯데홈쇼핑모피코트,739371,829032
야노시,야노시호,103824,57
해외여행,호주여행,39287,35640
일곤여행,일본여행,34379,45654
크리스마슽리,크리스마스트리,0,1353
아이챌린지,아이챌린지 1단계,145,145
이경재녹용,이경제녹용,171,235
글라스락링테이퍼,글 라스락네오,18216,4335
리클라이너쇼파,상일리베아리클라이너쇼파,7554,7554
남성운동화,운동화,597153,45621
gs홈쇼핑미소니머플러,미소니머플러,69816,24168
gs샵디토미쏘니일루쏘머플러,gs샵미쏘니일루쏘머플러,40284,72023
알집매트 1 1,알집매트1 1,92877,516239
14k쥬얼리세트,쥬얼리세트,733085,614154
아메리칸투어리스터세트,아메리칸투어리스터 소프트,598647,6043
아메리칸투어리스터 소프트,아메리칸투어리스터세트,6043,598647
원더브라세트,원더브라,643996,326
아디다스 드로즈,아디다스롱드로즈,59951,231017
까사보니따,까사보니타,6,42
이연복칠리새우,이연복칠리새우와동파육,1182,1182
이혜정,이혜정폭립,24,105
크림하우스,크림하우스매트,165461,254492
블루베리,천호 블루베리,4122,416
아토팜방송,아토팜,2102,400
카페트,페딩카페트,25278,25314
아일랜드 진열장,아일랜드수납장,37801,60419
금강토탈,금강토탈라이프,4565,2135
콜롬비아,콜롬비아우주복,422,8922
남성트레이닝복,트레이닝복,566178,12518
댄비,덴비,1,1634
맥스클렌져,맥스클렌져 전동,10786,10786
맥스클렌져 전동,맥스클렌져 진동,10786,10786
스탐큐,스팀큐,0,14
아이챌린지 1단계,아이챌린지 ,145,145
아이챌린지 1단계,아이챌린지,145,145
한일스텐냄비,스텐냄비,54704,48332
1인용침더,1인용침대,451772,541439
1인용침대,1인용침더,541439,451772
트렌치구스,트렌치구스여성,43821,700623
호두기름,호두기름진액,2820,3978
아이챌린지,아이챌린지3단계,145,908047
아디다스 져,아디다스 져지,59951,59951
실리트 민트,실라간 민트,1963,687
다이치 카시트,다이치 퍼스트세븐,566,566
드럼세탁기,세탁기,4864,1906
해외패키지여행,해외여행패키지,51206,51206
기모팬츠,남성기모팬츠,332277,842641
아이폰6,아이폰6s,446856,113984
압력솥,압력밥솥,1648,2658
아토팜,아토팜솝,400,1917
아토팜 베리어솝,아토팜 허니솝,400,400
아토팜 허니솝,아토팜 베리어솝,400,400
썬크림,선크림,375,400
리엔케빽,리엔케,0,0
여성키높이부츠,여성부츠,741593,718301
다이나톤,다이나톤 렌탈,29,29
순살닭,순살닭갈비,3801,1369
무지크,무자크,16,3880
썬라이즈세이브,썬라이즈블럭,883,11702
썬라이즈세이브,썬라이즈뉴,883,38337
ㅅ아기스,하기스,25,638
크림하우스1 1,크림하우스1  1,587017,587016
매직캥,매직캔,0,326
쎌쎄라,쎌세라,0,0
온수매트 퀸 싱글 접기,온수매트 퀸 싱글 접,93264,93264
온수매트 퀸 싱글 접기,온수매트 퀸 싱글,93264,93264
푸마 트랙수트,여성 트랙수트,17858,662587
신신 카페드매트,신신 카페트매트,153,153
18,18k,19393,22043
코렐코니네이츠,코렐코디네이츠,16628,19627
더만두,만두,62435,1478
쿠구,쿠쿠,0,1899
wmf,wmf 통,1845,1845
맥스클리닉,맥스클렌저,10349,12149
맥스클리닉,맥스클렌져,10349,10786
노루풍지판,풍지판,0,27
남성정장바지,남성바지,682705,631000
스텐냄비,스텐냄비세트,48332,633242
에스쁘아,에스쁘아 쿠션,47768,47768
아이챌린지,아이챌린지2단계,145,526547
고현정,고현정y,8,10812
코렐 ,코렐,9583,9583
코렐,코렐 ,9583,9583
차엔박,차앤박,0,455
천재교육밀크티,천재교육,4782,4054
age 20s,age20,564,0
코트,롱코트,105977,242026
래인바이,레인바이,9908,18733
설날 여행,설날 해외여행,90,90
김자애트,김장매트,0,93134
아이오페,아이오페기초,507,1653
설와수,설화수,972,515
에어프라이어,에어프라이기,19279,0
에어프라이기,에어프라이어,0,19279
유난희쇼,유난믜,3550,0
스타우트,냄비 스타우트,62,30216
치랭스쎄트,치랭스세트,2044,594679
화분,빈화분,8168,0
오터비스,오토비스,0,34
삼원온수미닡,삼원온수매트,2921,93614
견미리에이지투웨니스SR,에이지투웨니스,3626,2252
에셀리아,라셀루치아,93,0
구스다운,김희애구스다운,69995,70096
갤럭시 탭s2,갤럭시  탭 ,163243,163243
극세신,극세사,0,33561
스웨이드구두,스웨이드부츠,116431,101506
남자 구두셑,남자구두,35116,132966
남자구동 3종,남자구두 3종,35127,132966
세인트스코트,세인트스코트 구두,9442,9442
태블릿,태블릿pc,2104,7885
구찌남성벨트,루이비통남성벨트,615020,608595
구찌남성벨트,구찌벨트,615020,72648
lg tv,led tv,26932,25129
한율광채쿠셩,한율광채,548,548
갤럭시sㅛ,갤럭시s6,163243,163953
르쿠르제,르쿠르제 머그,1,1
보루네오침대,보루네오 소파,96625,5420
보루네오 소파,보루네오침대,5420,96625
식품건조기,리큅식품건조기,4912,4969
헬로키티,헬로키티케이스,18995,186949
헬로키티케이스,헬로키티노트4케이스,186949,475746
박하선 레깅스,압박 레깅스,55,2911
퍼실화이트,퍼실화이트에디션,179726,187587
화판 3절지,화판 3절,23,23
아바,아바이,538,7
나비엔 온수매트,나비엔메이트,8,0
코코넛오일,코코넛오일 캡슐,10440,10440
아너스물걸레청소기,물걸레청소기,84498,84467
본앤하우스,본앤하우스커튼,119460,180213
커튼세트,특대커튼세트,653832,659458
해피콜양면압력팬 세트,해피콜양면압력팬,26304,26304
해피콜양면압력팬,해피콜양면팬,26304,1233
셀더마,셀마,20,414
터들넥,터틀넥,15,11823
누빔정퍼,누빔점퍼,23032,144809
롱후드,여성롱후드,1081,663447
견미리에어쿠션,견미리파운데이션,913,2766
김치냉장고,디오스김치냉장고 ,13821,14245
쥐색운동화,회색운동화,45711,52114
런닝횐,런닝화,0,21028
바노바기 ,바노바기,3,3
홍콩마카오,마카오,389,64
하루견ㄱ하,하루견과,64878,5781
디오스 김치톡톡 1등급,디오스 김치톡톡,666,666
아디다스,아디다스 패딩,59951,59951
한일믹서기,한일식품건조기,9777,12978
쫑알이 자연관찰,연두비 자연관찰,0,51
돌잡이수학,돌잡이,6687,165
캐시미어머플러,캐시미어니트,32260,193592
lg냉장고,lg김치냉장고,35949,40049
14k목걸이,14k귀걸이,190212,177480
케리어 온충기,케리어 온풍기,1117,1117
웅진정수기,정수기,2856,2082
나토,나또,849,2
고티카낫토,고지카낫또,597,0
ih프라이팬,해피콜ih후라이팬,5513,19714
오휘모공진동세안,오휘모공세안,2372,61683
오휘모공세안,오휘모공,61683,1388
이불세트,이불세트k,632226,657614
거실장,티비거실장,21228,24869
니트가디건,가디건,254170,82413
마담의류,테마의류,55392,61822
여성의류,남성의류,703087,592124
가공식품,건강식품,1,15370
타이어부품,타이어,2539,1546
타이어,타이어부품,1546,2539
아임쇼핑,아임홈쇼핑,15371,6590
삼원온스파,삼원온스파 물방울,521,521
네셔널지오,네셔널지오그래픽,21690,58318
네셔널지오그래픽,내셔널지오그래픽 캐리어,58318,58337
부산납자만두,납자만두,1478,1478
여자바지,여성바지,123447,741670
박화선,박하선,0,55
까사미아,까사미아소파,11981,43072
내비새트,냄비세트,29,617360
쌀독대,장독대,5237,11
쌀독대,독대,5237,4
손목시계,가죽손목시계,141854,254972
코쿠,콩쿠,2,0
핫케이크,핫케이크팬,7,7294
펜츠3종,여성펜츠3종,1134651,1685270
여성정장바지,여성정장바지세트,810800,1361134
여성바지3종,여성팬츠3종,1749656,1895745
리꼬레트,리꼴레트,0,0
닥스킺,닥스키즈,0,3129
냅비,냄비,1,30216
진드게 구스,진드기 구스,0,4495
코드,코트,10353,105977
온수매트,경동온수매트,93264,93624
라티시마,라티시마터치,8,19330
닫터브라움,닥터브라운,1,98805
헤라미스트쿠션,미스트쿠션,131983,76130
듀오락,듀오락얌얌,0,92
듀오락얌얌,듀오락,92,0
비커즈파카,비커즈점퍼,5874,123931
모지꼬트,모직코트,0,115664
토퍼세트,방수토퍼세트,594614,592769
갤레시,갤럭시,0,163243
알레르맘,알레르망,0,176
여성 목몰라,여성 목폴라,662587,662587
여성 반 터들넥,여성 반 폴라티,662587,662587
경동온수매트,경동온수매트1 1,93624,516952
담배대용푸,담배대용품,410,148375
옹가네김장매트 ,옹가네김장매트,93135,93135
현댜모비스,현대모빗.,1141,491773
현댜모비스,현대모비스,1141,731326
광파오븐렌지,광파오븐렌지 데코,7618,7618
big7,big 7,1,7535
공진단,공진환,0,0
진공포장,진공포장기,19232,3943
감치통,김치통,27024,400
뽕고데기,차홍고데기,63,1077
셀더바,셀더마,0,20
알집매트 1 1,알집매트 260,92877,92877
알집매트 260,알집매트280,92877,95452
숀리   퍼브,숀리 리퍼브,67,67
온수매트,온열매트,93264,94077
기모티셔츠,기모티,427222,355
삼원온수매트,스팀보이온수매트,93614,93290
해피콜믹서,해피콜,1396,880
남성지갑,빈폴남성지갑,630522,658813
남방텐트,난방텐트,29520,12230
뉴페이스,누페이스,58745,22188
아디다스,아디다스드로즈,59951,83568
여성패딩,여성팬티,724045,753798
세탁기,삼성세탁기,1906,19728
자동차매트,자동차 카페트,108666,16398
자동차 카페트,자동차매트,16398,108666
오모떼란쥬,오모떼,1136,281
납작이,납작,525,769
나비엔 온수,나비엔온수매트,8,93272
정수기,쿠쿠정수기,2082,3643
기모레킹스,기모레깅스,498,120683
코오롱바지,코오롱신사바지,104185,112163
엔리코코베리,엔리코코베리패딩부츠,223,153316
박홍근,박홍근 Q,1939,1939
리드잇유얼셀 ㅡ,리드잇유얼셀프,4549,4549
미로클릿팟가습기,미로클린팟,2064,685
까사미아매트리스,까사온매트리스,64688,63223
퍼 트리밍 롱코트,퍼 트리밍 패딩,41752,41752
.뱅뱅,뱅뱅,496765,5007
피지오겟,피지오겔크림,0,47100
드림믹,드림믹서,0,8626
겨울정장팬츠,여성겨울정장팬츠,397262,1005588
손정,손정완,3,0
똑딱뽕멀가발,똑딱뽕머리가발,1716,17355
오메가3,오메가3철분제,899754,900605
여성판초,여성판쵸,662850,663322
남성다운,남성구스다운,606379,609862
헬스믹 ㅇ식서기,헬스믹믹서기,1,1754
코오롱 아우터,코오롱 다운점퍼,11927,11927
구지시계,구찌시계,137737,145228
구찌시계,구찌지갑,145228,92898
전기매트,전기매트특대,102571,109261
최경주골프바지,골프바지,183605,183587
난방기기방숭예정,난방기기 방송예정,5022,4898
게스진여자남방,게스진여자롱남방,52472,198555
버건디색 니트,버건디색니트 티셔츠,24439,210391
감식,간식,74,5292
한빛소파패드,한빛카페트,90514,25780
페스포우,페스포우 패딩,17,17
촤미나향수,최미나향수,4024,4025
마이마이 오렌지오일,마이마이 오일,16290,16290
마이마이 오일,마이마이 베이비 오일,16290,16290
경동나비엔온수매트,경동나비엔온스매트1 1,93632,516593
시슬리.,시슬리가방,506587,121494
거실용 슬리퍼,거실용 카펫트,162,162
애리스 앤블루,앨리스앤블루,3,7819
베오리트 패디코트,베오리트 패딩코트,2,2
남성기모바지,남성 기모 뱅뱅바지,680440,555892
led tv,uhd tv,25129,610
사이판여행,사이판pic,34415,58
기모세트,기모후드세트,651163,734169
엘렌실라달팽이크림,달팽이크림,48146,48067
삼성액티브워시,액티브워시,28266,10269
